comments,is_question,note,points,source,title,ts,url
23,False,kw=entropy,42,hn,Better AI code comment detector,2026-09-09T15:45,https://entropicthoughts.com/better-ai-comment-classifier
1,False,kw=entropy,17,hn,Cultivating Trust,2026-09-06T16:02,https://kaeruct.github.io/posts/2026/09/06/conquering-entropy-cultivating-trust/
3,False,kw=AI consciousness,8,hn,AI Is Already Making Us Less Human,2026-09-07T00:38,https://www.theatlantic.com/ideas/2026/09/open-ai-consciousness-morality/688535/
3,False,kw=AI consciousness,7,hn,AI Is Making Us Less Human,2026-09-06T16:29,https://www.theatlantic.com/ideas/2026/09/open-ai-consciousness-morality/688535/
0,False,kw=entropy,5,hn,Extropic Z1T,2026-09-05T23:34,https://extropic.ai/writing/z1t/
1,False,kw=entropy,4,hn,Europe may have found a space entrepreneur who is meeting the moment,2026-09-10T09:58,https://arstechnica.com/space/2026/09/as-europe-flounders-in-space-a-rising-french-star-may-show-the-way/
0,False,kw=quantum computing explained,3,hn,Show HN: Intro-level book about quantum computing theory/hardware/applications,2026-09-09T15:49,https://quantumcomputingfortheconfused.com/
0,False,kw=entropy,2,hn,A Mathematical Theory of Communication [pdf],2026-09-07T02:21,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf
0,False,kw=warp drive,2,hn,Show HN: Kaden – Linux Terminal where Ctrl+C copies,2026-09-06T08:00,https://github.com/glitcher255/Kaden-Terminal
0,False,kw=hard sci-fi,2,hn,Show HN: Pragma Twice – A dystopian sci-fi themed programming game,2026-09-10T13:00,https://www.bryanpg.com/pragma_twice/
0,False,kw=entropy,1,hn,Show HN: CodeEraser – a deterministic judge of LLM-induced code and doc entropy,2026-09-08T20:26,https://github.com/skymanbp/CodeEraser
23,False,kw=entropy,42,hn,Better AI code comment detector,2026-09-09T15:45,https://entropicthoughts.com/better-ai-comment-classifier
1,False,kw=entropy,17,hn,Cultivating Trust,2026-09-06T16:02,https://kaeruct.github.io/posts/2026/09/06/conquering-entropy-cultivating-trust/
3,False,kw=AI consciousness,8,hn,AI Is Already Making Us Less Human,2026-09-07T00:38,https://www.theatlantic.com/ideas/2026/09/open-ai-consciousness-morality/688535/
3,False,kw=AI consciousness,7,hn,AI Is Making Us Less Human,2026-09-06T16:29,https://www.theatlantic.com/ideas/2026/09/open-ai-consciousness-morality/688535/
1,False,kw=entropy,4,hn,Europe may have found a space entrepreneur who is meeting the moment,2026-09-10T09:58,https://arstechnica.com/space/2026/09/as-europe-flounders-in-space-a-rising-french-star-may-show-the-way/
0,False,kw=entropy,3,hn,Everyday Entrepreneurship (2016),2026-09-10T15:06,https://journals.sagepub.com/doi/10.1111/etap.12258
0,False,kw=quantum computing explained,3,hn,Show HN: Intro-level book about quantum computing theory/hardware/applications,2026-09-09T15:49,https://quantumcomputingfortheconfused.com/
0,False,kw=entropy,2,hn,A Mathematical Theory of Communication [pdf],2026-09-07T02:21,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf
0,False,kw=warp drive,2,hn,Show HN: Kaden – Linux Terminal where Ctrl+C copies,2026-09-06T08:00,https://github.com/glitcher255/Kaden-Terminal
0,False,kw=hard sci-fi,2,hn,Show HN: Pragma Twice – A dystopian sci-fi themed programming game,2026-09-10T13:00,https://www.bryanpg.com/pragma_twice/
0,False,kw=entropy,1,hn,Show HN: CodeEraser – a deterministic judge of LLM-induced code and doc entropy,2026-09-08T20:26,https://github.com/skymanbp/CodeEraser
